#;Nome;Fuori lista;Sq.;Under;R.;R.MANTRA;PGv;MV;FM;FVM/1000;QUOT.;FantaSquadra;Costo
2766;Zaniolo;;Udinese;26;C;T/A;17;6,24;7;82;21;LAMINCHIADURA;11
4892;Saelemaekers;;Milan;26;C;E/W;18;6,28;6,67;80;19;Salisburro;14
2606;Modric;;Milan;40;C;C;18;6,5;6,72;80;20;Hoffenaimer;13
2061;Simeone;;Torino;30;A;Pc;16;6,12;7,06;77;19;;
5995;De Ketelaere;;Atalanta;24;A;A;17;6,06;6,47;74;16;Spezzacaviglie  FC;38
1870;Barella;;Inter;28;C;C;18;6,28;6,64;74;19;Betis Pinilla;42
7023;Pellegrino M.;;Parma;24;A;Pc;18;6,17;6,92;72;20;Chi vuol essere paraguaiano;1
6831;Neres;;Napoli;28;C;W/A;15;6,23;6,97;68;18;Salisburro;13
2038;Pinamonti;;Sassuolo;26;A;Pc;18;5,83;6,42;66;15;Herta Vernello;16
2814;Provedel;;Lazio;31;P;Por;19;6,21;5,37;66;16;Eintracht Piangoforte;10
6226;Castellanos;*;Lazio;27;A;Pc;11;6,09;6,82;65;18;Eintracht Piangoforte;80
6572;Castro S.;;Bologna;21;A;Pc;16;6,06;7,03;64;23;Betis Pinilla;50
2369;Thauvin;*;Udinese;32;A;A;0;0;0;64;16;;
5876;Di Gregorio;;Juventus;28;P;Por;17;6,15;5,29;64;15;Spezzacaviglie  FC;26
2428;Sommer;;Inter;37;P;Por;16;5,91;5,03;64;13;Eintracht Piangoforte;23
7313;Ratkov;;Lazio;22;A;Pc;0;0;0;62;15;;
2841;Vlahovic;;Juventus;25;A;Pc;13;5,96;6,65;62;16;Herta Vernello;6
2531;Lukaku;;Napoli;32;A;Pc;0;0;0;62;15;LAMINCHIADURA;16
5637;Davis K.;;Udinese;27;A;Pc;18;6,25;7,17;61;23;Betis Pinilla;2
2499;Vardy;;Cremonese;38;A;Pc;15;6,1;7,03;60;21;Chi vuol essere paraguaiano;13
309;Dybala;;Roma;32;A;A;14;5,96;6,11;60;13;Spezzacaviglie  FC;101
5564;Ndoye;*;Bologna;25;C;W;0;0;0;60;18;;
2120;Bastoni;;Inter;26;D;Dc;16;6,25;6,53;60;18;Hoffenaimer;19
7181;Wesley;;Roma;22;D;E;17;6,15;6,56;59;16;ASTRO NZONZI;12
6966;Butez;;Como;30;P;Por;18;6,14;5,61;55;18;BREAKING BET;8
4431;Carnesecchi;;Atalanta;25;P;Por;19;6,26;5,42;53;16;Hoffenaimer;20
5589;Konè M.;;Roma;24;C;M/C;19;6,32;6,5;52;16;BREAKING BET;29
2170;Milinkovic-Savic V.;;Napoli;28;P;Por;14;6,18;5,82;51;17;Herta Vernello;12
5800;Gudmundsson A.;;Fiorentina;28;C;T/A;17;5,91;6,59;50;15;Betis Pinilla;64
4463;Esposito Se.;;Cagliari;23;A;A;18;6,17;6,67;49;17;Hoffenaimer;1
1933;Mandragora;;Fiorentina;28;C;M/C;19;6;6,68;49;18;Salisburro;10
2788;Bremer;;Juventus;28;D;Dc;9;6,22;6,44;46;10;Eintracht Piangoforte;17
5562;Thuram K.;;Juventus;24;C;M/C;18;6,06;6,22;45;13;Herta Vernello;21
4159;Akanji;;Inter;30;D;Dc;16;6,25;6,16;45;11;Betis Pinilla;17
2816;Di Lorenzo;;Napoli;32;D;Dd/E;18;6,03;6,22;44;11;Spezzacaviglie  FC;24
6151;Perrone;;Como;22;C;M/C;16;6,31;6,69;43;16;Chi vuol essere paraguaiano;5
6832;Palestra;;Cagliari;20;D;E;18;6,39;6,53;43;16;ASTRO NZONZI;9
1852;Spinazzola;;Napoli;32;D;Ds/E;13;6,46;7,12;43;19;Salisburro;1
7316;Durosinmi;;Pisa;22;A;Pc;0;0;0;42;15;;
7017;Douvikas;;Como;26;A;Pc;17;6,18;7,24;42;22;LAMINCHIADURA;2
2678;Fullkrug;;Milan;32;A;Pc;2;5,75;5,75;42;13;;
827;Locatelli;;Juventus;27;C;M/C;18;6,36;6,25;42;13;ASTRO NZONZI;6
